Configuration	stm32H743_temp
STM32CubeMX 	4.27.0
Date	11/25/2018
MCU	STM32H743IITx



PERIPHERALS	MODES	FUNCTIONS	PINS
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D0	PD14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D1	PD15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D2	PD0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D3	PD1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D4	PE7
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D5	PE8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D6	PE9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D7	PE10
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D8	PE11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D9	PE12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D10	PE13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D11	PE14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D12	PE15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D13	PD8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D14	PD9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D15	PD10
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	Asynchronous	FMC_NWAIT	PC6
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16-bit byte enable	FMC_NBL0	PE0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16-bit byte enable	FMC_NBL1	PE1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	NE3	FMC_NE3	PG6
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	LCD Interface	FMC_NOE	PD4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	LCD Interface	FMC_NWE	PD5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	A0	FMC_A0	PF0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D0	PD14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D1	PD15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D2	PD0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D3	PD1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D4	PE7
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D5	PE8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D6	PE9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D7	PE10
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D8	PE11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D9	PE12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D10	PE13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D11	PE14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D12	PE15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D13	PD8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D14	PD9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 3	16 bits	FMC_D15	PD10
FMC:NAND Flash 1	NCE	FMC_NCE	PG9
FMC:NAND Flash 1	8 bits	FMC_D0	PD14
FMC:NAND Flash 1	8 bits	FMC_D1	PD15
FMC:NAND Flash 1	8 bits	FMC_D2	PD0
FMC:NAND Flash 1	8 bits	FMC_D3	PD1
FMC:NAND Flash 1	8 bits	FMC_D4	PE7
FMC:NAND Flash 1	8 bits	FMC_D5	PE8
FMC:NAND Flash 1	8 bits	FMC_D6	PE9
FMC:NAND Flash 1	8 bits	FMC_D7	PE10
FMC:NAND Flash 1	8 bits	FMC_ALE	PD12
FMC:NAND Flash 1	8 bits	FMC_CLE	PD11
FMC:NAND Flash 1	8 bits	FMC_NOE	PD4
FMC:NAND Flash 1	8 bits	FMC_NWE	PD5
FMC:NAND Flash 1	NWAIT	FMC_NWAIT	PC6
FMC:SDRAM 1	SDCKE0+SDNE0	FMC_SDCKE0	PH2
FMC:SDRAM 1	SDCKE0+SDNE0	FMC_SDNE0	PH3
FMC:SDRAM 1	4 banks	FMC_BA0	PG4
FMC:SDRAM 1	4 banks	FMC_BA1	PG5
FMC:SDRAM 1	13 bits	FMC_A0	PF0
FMC:SDRAM 1	13 bits	FMC_A1	PF1
FMC:SDRAM 1	13 bits	FMC_A2	PF2
FMC:SDRAM 1	13 bits	FMC_A3	PF3
FMC:SDRAM 1	13 bits	FMC_A4	PF4
FMC:SDRAM 1	13 bits	FMC_A5	PF5
FMC:SDRAM 1	13 bits	FMC_A6	PF12
FMC:SDRAM 1	13 bits	FMC_A7	PF13
FMC:SDRAM 1	13 bits	FMC_A8	PF14
FMC:SDRAM 1	13 bits	FMC_A9	PF15
FMC:SDRAM 1	13 bits	FMC_A10	PG0
FMC:SDRAM 1	13 bits	FMC_SDCLK	PG8
FMC:SDRAM 1	13 bits	FMC_SDNCAS	PG15
FMC:SDRAM 1	13 bits	FMC_SDNRAS	PF11
FMC:SDRAM 1	13 bits	FMC_SDNWE	PC0
FMC:SDRAM 1	13 bits	FMC_A11	PG1
FMC:SDRAM 1	13 bits	FMC_A12	PG2
FMC:SDRAM 1	16 bits	FMC_D0	PD14
FMC:SDRAM 1	16 bits	FMC_D1	PD15
FMC:SDRAM 1	16 bits	FMC_D2	PD0
FMC:SDRAM 1	16 bits	FMC_D3	PD1
FMC:SDRAM 1	16 bits	FMC_D4	PE7
FMC:SDRAM 1	16 bits	FMC_D5	PE8
FMC:SDRAM 1	16 bits	FMC_D6	PE9
FMC:SDRAM 1	16 bits	FMC_D7	PE10
FMC:SDRAM 1	16 bits	FMC_D8	PE11
FMC:SDRAM 1	16 bits	FMC_D9	PE12
FMC:SDRAM 1	16 bits	FMC_D10	PE13
FMC:SDRAM 1	16 bits	FMC_D11	PE14
FMC:SDRAM 1	16 bits	FMC_D12	PE15
FMC:SDRAM 1	16 bits	FMC_D13	PD8
FMC:SDRAM 1	16 bits	FMC_D14	PD9
FMC:SDRAM 1	16 bits	FMC_D15	PD10
FMC:SDRAM 1	16-bit byte enable	FMC_NBL0	PE0
FMC:SDRAM 1	16-bit byte enable	FMC_NBL1	PE1
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PH0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PH1-OSC_OUT
SDMMC1	SD 4 bits Wide bus	SDMMC1_CK	PC12
SDMMC1	SD 4 bits Wide bus	SDMMC1_CMD	PD2
SDMMC1	SD 4 bits Wide bus	SDMMC1_D0	PC8
SDMMC1	SD 4 bits Wide bus	SDMMC1_D1	PC9
SDMMC1	SD 4 bits Wide bus	SDMMC1_D2	PC10
SDMMC1	SD 4 bits Wide bus	SDMMC1_D3	PC11
SYS	Serial Wire	SYS_JTCK-SWCLK	PA14
SYS	Serial Wire	SYS_JTMS-SWDIO	PA13
SYS	SYS_WakeUp0	SYS_WKUP0	PA0-WKUP
SYS	TIM6	SYS_VS_tim6	VP_SYS_VS_tim6
TIM1	Internal Clock	TIM1_VS_ClockSourceINT	VP_TIM1_VS_ClockSourceINT
TIM2	Internal Clock	TIM2_VS_ClockSourceINT	VP_TIM2_VS_ClockSourceINT
TIM3	Internal Clock	TIM3_VS_ClockSourceINT	VP_TIM3_VS_ClockSourceINT
TIM4	Internal Clock	TIM4_VS_ClockSourceINT	VP_TIM4_VS_ClockSourceINT
TIM5	Internal Clock	TIM5_VS_ClockSourceINT	VP_TIM5_VS_ClockSourceINT
TIM8	Internal Clock	TIM8_VS_ClockSourceINT	VP_TIM8_VS_ClockSourceINT
TIM12	Internal Clock	TIM12_VS_ClockSourceINT	VP_TIM12_VS_ClockSourceINT
TIM13	Enable_Timer	TIM13_VS_ClockSourceINT	VP_TIM13_VS_ClockSourceINT
TIM14	Enable_Timer	TIM14_VS_ClockSourceINT	VP_TIM14_VS_ClockSourceINT
TIM15	Internal Clock	TIM15_VS_ClockSourceINT	VP_TIM15_VS_ClockSourceINT
TIM16	Enable_Timer	TIM16_VS_ClockSourceINT	VP_TIM16_VS_ClockSourceINT
TIM17	Enable_Timer	TIM17_VS_ClockSourceINT	VP_TIM17_VS_ClockSourceINT
UART5	Asynchronous	UART5_RX	PB12
UART5	Asynchronous	UART5_TX	PB13
USART1	Asynchronous	USART1_RX	PB15
USART1	Asynchronous	USART1_TX	PA9



Pin Nb	PINs	FUNCTIONs	LABELs
11	PI9	FDCAN1_RX	
16	PF0	FMC_A0	
17	PF1	FMC_A1	
18	PF2	FMC_A2	
19	PF3	FMC_A3	
20	PF4	FMC_A4	
21	PF5	FMC_A5	
29	PH0-OSC_IN	RCC_OSC_IN	
30	PH1-OSC_OUT	RCC_OSC_OUT	
32	PC0	FMC_SDNWE	
34	PC2_C	ADC3_INN1	
35	PC3_C	ADC3_INP1	
40	PA0-WKUP	SYS_WKUP0	
43	PH2	FMC_SDCKE0	
44	PH3	FMC_SDNE0	
50	PA4	DAC1_OUT1	
56	PB0	ADC1_INN5 ADC2_INN5	
57	PB1	ADC1_INP5 ADC2_INP5	
59	PF11	FMC_SDNRAS	
60	PF12	FMC_A6	
63	PF13	FMC_A7	
64	PF14	FMC_A8	
65	PF15	FMC_A9	
66	PG0	FMC_A10	
67	PG1	FMC_A11	
68	PE7	FMC_D4	
69	PE8	FMC_D5	
70	PE9	FMC_D6	
73	PE10	FMC_D7	
74	PE11	FMC_D8	
75	PE12	FMC_D9	
76	PE13	FMC_D10	
77	PE14	FMC_D11	
78	PE15	FMC_D12	
92	PB12	UART5_RX	
93	PB13	UART5_TX	
95	PB15	USART1_RX	
96	PD8	FMC_D13	
97	PD9	FMC_D14	
98	PD10	FMC_D15	
99	PD11	FMC_A16 FMC_CLE	
100	PD12	FMC_A17 FMC_ALE	
101	PD13	FMC_A18	
104	PD14	FMC_D0	
105	PD15	FMC_D1	
106	PG2	FMC_A12	
107	PG3	FMC_A13	
108	PG4	FMC_A14 FMC_BA0	
109	PG5	FMC_A15 FMC_BA1	
110	PG6	FMC_NE3	
112	PG8	FMC_SDCLK	
115	PC6	FMC_NWAIT	
116	PC7	FMC_NE1	
117	PC8	SDMMC1_D0	
118	PC9	SDMMC1_D1	
120	PA9	USART1_TX	
124	PA13	SYS_JTMS-SWDIO	
128	PH13	FDCAN1_TX	
137	PA14	SYS_JTCK-SWCLK	
139	PC10	SDMMC1_D2	
140	PC11	SDMMC1_D3	
141	PC12	SDMMC1_CK	
142	PD0	FMC_D2	
143	PD1	FMC_D3	
144	PD2	SDMMC1_CMD	
146	PD4	FMC_NOE	
147	PD5	FMC_NWE	
152	PG9	FMC_NCE	
160	PG15	FMC_SDNCAS	
169	PE0	FMC_NBL0	
170	PE1	FMC_NBL1	



SOFTWARE PROJECT

Project Settings : 
Project Name : stm32H743_temp
Project Folder : F:\other\bld\STM32H7\project\stm32h743ii\stm32H743_temp
Toolchain / IDE : EWARM V8
Firmware Package Name and Version : STM32Cube FW_H7 V1.3.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy only the necessary library files
Generate peripheral initialization as a pair of '.c/.h' files per peripheral : Yes
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : 





